"Location","Job_Title","Industry","Company_Size","AI_Adoption_Level","Automation_Risk","Required_Skills","Salary_USD","Remote_Friendly","Job_Growth_Projection","GDP_2023_Billion_USD","GDP_Growth_2023_Percent","Automation_Impact_Score","Average_Salary","Stock_Option_Percent","Bonus_Percent","Stock_Options","Bonus","Total_Compensation","Automation_Probability","count","AI_Adoption_Count","AI_Adoption_Rate_Per_Company_Size","Job_Security_Index","Common_Degrees","Annual_Growth_Rate_Low","Annual_Growth_Rate_High","Annual_Growth_Rate_Mean","Projected_Total_Compensation_Low_5Y","Projected_Total_Compensation_High_5Y","Projected_Total_Compensation_Mean_5Y","Type_of_Automation"
"Berlin","Product Manager","Transportation","Large","Low","High","Sales",86341.9668576956,"No","Stable",4467,0.2,6,66707.4057732365,0.05,0.1,4317.09834288478,8634.19668576956,99293.26188635,58.893505372107,54,9350,0.577540106951872,"Medium","Business Administration, Marketing, Engineering",1.42517559574172,2.41928624520451,1.92223092047311,106573.350435925,111899.591891245,109236.471163585,"Physical"
"Berlin","Sales Manager","Education","Small","Low","Medium","Data Analysis",101953.052927065,"No","Stable",4467,0.2,4,87564.0581818577,0.05,0.1,5097.65264635325,10195.3052927065,117246.010866125,33.2159558497369,59,9761,0.60444626575146,"Medium","Business Administration, Marketing, Economics",1.68451884591766,2.68119725033268,2.18285804812517,127459.516048979,133829.758608981,130644.63732898,"Cognitive"
"Berlin","Cybersecurity Analyst","Healthcare","Large","Low","Low","Machine Learning",78548.2667230736,"No","Stable",4467,0.2,2,91923.5864679735,0.1,0.15,7854.82667230736,11782.240008461,98185.333403842,12.5822808779776,54,9350,0.577540106951872,"Medium","Computer Science, Information Technology, Cybersecurity",1.89291896313243,2.89166073504463,2.39228984908853,107836.712175086,113226.349215936,110531.530695511,"Cognitive"
"Berlin","HR Manager","Healthcare","Large","Low","Medium","Project Management",95217.781293642,"Yes","Stable",4467,0.2,4,101400.653661165,0.1,0.15,9521.7781293642,14282.6671940463,119022.226617052,33.2159558497369,54,9350,0.577540106951872,"Medium","Human Resource Management, Business Administration, Psychology",1.68451884591766,2.68119725033268,2.18285804812517,129390.461062284,135857.209465757,132623.83526402,"Cognitive"
"Berlin","HR Manager","Telecommunications","Large","Low","Medium","Project Management",92881.8609521496,"No","Growth",4467,0.2,4,82799.7248063423,0.2,0.2,18576.3721904299,18576.3721904299,130034.605333009,33.2159558497369,54,9350,0.577540106951872,"Medium","Human Resource Management, Business Administration, Psychology",3.68451884591766,4.68119725033268,4.18285804812517,155821.911310463,163456.557905033,159639.234607748,"Hybrid"
"Berlin","Cybersecurity Analyst","Manufacturing","Large","Medium","Low","Cybersecurity",100288.018731409,"No","Decline",4467,0.2,4,94241.0754862367,0.1,0.15,10028.8018731409,15043.2028097113,125360.023414261,37.9677936993539,65,9350,0.695187165775401,"Medium","Computer Science, Information Technology, Cybersecurity",-2.36347471636347,0.63272850426659,-0.865373106048442,111229.667940121,129376.472278725,120303.070109423,"Physical"
"Berlin","Data Scientist","Technology","Large","Low","High","Data Analysis",100933.906475318,"No","Decline",4467,0.2,6,83975.3549432316,0.2,0.2,20186.7812950635,20186.7812950635,141307.469065445,58.893505372107,54,9350,0.577540106951872,"Low","Computer Science, Statistics, Mathematics",-2.57482440425828,0.419286245204508,-1.07776907952689,124028.389370718,144294.829337288,134161.609354003,"Unknown"
"Berlin","UX Designer","Retail","Medium","Medium","Low","Cybersecurity",116207.694043399,"No","Growth",4467,0.2,4,78833.8170690633,0.05,0.1,5810.38470216997,11620.7694043399,133638.848149909,37.9677936993539,60,9085,0.66042927903137,"High","Graphic Design, Human-Computer Interaction, Psychology",3.63652528363652,4.63272850426659,4.13462689395156,159770.627759343,167598.634721501,163684.631240422,"Unknown"
"Berlin","Data Scientist","Telecommunications","Large","Low","Medium","Cybersecurity",96020.889525489,"Yes","Growth",4467,0.2,4,86745.3644065192,0.2,0.2,19204.1779050978,19204.1779050978,134429.245335685,33.2159558497369,54,9350,0.577540106951872,"Medium","Computer Science, Statistics, Mathematics",3.68451884591766,4.68119725033268,4.18285804812517,161088.057218197,168980.723770185,165034.390494191,"Hybrid"
"Berlin","Marketing Specialist","Education","Small","High","Medium","JavaScript",109202.770129595,"No","Decline",4467,0.2,8,107064.08482575,0.05,0.1,5460.13850647975,10920.2770129595,125583.185649034,67.4424779927358,58,9761,0.594201413789571,"Medium","Marketing, Business Administration, Communications",-2.66116902772663,0.332086724474095,-1.16454115162627,109739.284965544,127682.306670123,118710.795817834,"Cognitive"
"Berlin","Marketing Specialist","Telecommunications","Large","Medium","Low","Python",84511.1994578196,"Yes","Decline",4467,0.2,4,91897.518400173,0.2,0.2,16902.2398915639,16902.2398915639,118315.679240947,37.9677936993539,65,9350,0.695187165775401,"Medium","Marketing, Business Administration, Communications",-2.36347471636347,0.63272850426659,-0.865373106048442,104979.349521909,122106.432166744,113542.890844327,"Hybrid"
"Berlin","Data Scientist","Healthcare","Large","High","Medium","Marketing",95276.7800849778,"Yes","Growth",4467,0.2,8,96530.8726418514,0.1,0.15,9527.67800849779,14291.5170127467,119095.975106222,67.4424779927358,47,9350,0.502673796791444,"Medium","Computer Science, Statistics, Mathematics",3.33883097227337,4.33208672447409,3.83545884837373,140350.772007164,147226.691646396,143788.73182678,"Cognitive"
"Berlin","Operations Manager","Technology","Small","Medium","Medium","Python",132528.711779464,"Yes","Growth",4467,0.2,6,103310.702295085,0.2,0.2,26505.7423558928,26505.7423558928,185540.19649125,44.0336386207491,54,9761,0.553222005942014,"Medium","Business Administration, Operations Management, Industrial Engineering",3.57526024993043,4.57085688606836,4.0730585679994,221165.905713468,232001.795551044,226583.850632256,"Unknown"
"Berlin","Cybersecurity Analyst","Finance","Medium","Low","Low","Machine Learning",86742.4084508112,"Yes","Growth",4467,0.2,2,94668.2027525314,0.2,0.2,17348.4816901622,17348.4816901622,121439.371831136,12.5822808779776,61,9085,0.671436433681893,"High","Computer Science, Information Technology, Cybersecurity",3.89291896313243,4.89166073504463,4.39228984908853,146990.495440023,154192.879932065,150591.687686044,"Cognitive"
"Berlin","Software Engineer","Telecommunications","Medium","Medium","Medium","JavaScript",114267.6279981,"No","Stable",4467,0.2,6,90866.8330532954,0.2,0.2,22853.52559962,22853.52559962,159974.67919734,44.0336386207491,60,9085,0.66042927903137,"Medium","Computer Science, Software Engineering, Information Technology",1.57526024993043,2.57085688606836,2.0730585679994,172978.037891176,181623.13437189,177300.586131533,"Hybrid"
"Berlin","UX Designer","Energy","Small","Low","Medium","Marketing",110153.069852008,"No","Growth",4467,0.2,4,105484.27888253,0.1,0.15,11015.3069852008,16522.9604778012,137691.33731501,33.2159558497369,59,9761,0.60444626575146,"Medium","Graphic Design, Human-Computer Interaction, Psychology",3.68451884591766,4.68119725033268,4.18285804812517,164997.058255169,173081.250127339,169039.154191254,"Unknown"
"Berlin","UX Designer","Telecommunications","Small","Low","Low","Python",93313.1788713706,"No","Decline",4467,0.2,2,94908.815690589,0.2,0.2,18662.6357742741,18662.6357742741,130638.450419919,12.5822808779776,59,9761,0.60444626575146,"Medium","Graphic Design, Human-Computer Interaction, Psychology",-2.10708103686757,0.891660735044628,-0.607710150911473,117443.07468028,136567.504776585,127005.289728433,"Hybrid"
"Berlin","Marketing Specialist","Manufacturing","Small","Medium","Medium","Sales",60768.8764549837,"No","Decline",4467,0.2,6,82402.1903411131,0.1,0.15,6076.88764549837,9115.33146824755,75961.0955687296,44.0336386207491,54,9761,0.553222005942014,"Medium","Marketing, Business Administration, Communications",-2.42473975006957,0.570856886068359,-0.926941432000604,67187.7057119254,78154.1370248127,72670.921368369,"Physical"
"Berlin","Cybersecurity Analyst","Energy","Medium","Medium","High","UX/UI Design",79936.8753588997,"No","Decline",4467,0.2,8,88025.4623282526,0.1,0.15,7993.68753588997,11990.531303835,99921.0941986247,78.1641557998955,60,9085,0.66042927903137,"Low","Computer Science, Information Technology, Cybersecurity",-2.76945797357894,0.222725610841066,-1.27336618136894,86830.1827717827,101038.81134347,93934.4970576262,"Unknown"
"Berlin","Operations Manager","Energy","Medium","Low","High","Sales",129825.05203287,"Yes","Growth",4467,0.2,6,112766.467664644,0.1,0.15,12982.505203287,19473.7578049306,162281.315041088,58.893505372107,61,9085,0.671436433681893,"Medium","Business Administration, Operations Management, Industrial Engineering",3.42517559574172,4.41928624520451,3.92223092047311,192043.606353293,201452.248787389,196747.927570341,"Unknown"
